Language_ID,Feature_ID,IPA,Value
Kryz,eye,ʕül,62
Archi,eye,lur,62
Udi,eye,pul,62
Xinalug,eye,pil,62
Chechen,burn,D=aag-,63
Ingush,burn,D=oag-,63
Bats,burn,D=ak'-,63
Avar,burn,rek'e,63
Bezhta,burn,=ek'e,63
Dargi,burn,=i(r)k'w,63
NTab,burn,u=g,63
Rutul,burn,li=k'w,63
Budux,burn,ʕa=k'V,63
Archi,burn,=k'wa,63
Xinalug,burn,"kk""i",63
Chechen,know,D=ovz-,65
Ingush,know,D=ovʒ-,65
Bats,know,D=apc'-,65
Avar,know,c'unize,65
Andi,know,c'indi,65
Lak,know,b=uvč'in,65
Rutul,know,ac',65
Tsaxur,know,=c'a=xes,65
Kryz,know,äc'är,65
